labels,Algeria,Argentina,Australia,Austria,Belarus,BelgiumLuxembourg,BosniaHerzegovina,Brazil,Bulgaria,Canada,Chile,China,HongKong,CostaRica,Czechia,Denmark,Egypt,Estonia,France,Germany,Guatemala,Guinea,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Lebanon,Malaysia,Mexico,Mongolia,Morocco,Netherlands,NewZealand,Norway,Taiwan,Pakistan,Peru,Poland,Portugal,Qatar,SKorea,Russia,SaudiArabia,Serbia,Singapore,Slovenia,SACU,Spain,Palestine,Sweden,Switzerland,Syria,Thailand,Tunisia,Turkey,Ukraine,UAE,UK,Tanzania,USA,Uzbekistan,Vietnam,Zambia,Zimbabwe
Taiwan,0,0,0,0,0,0,0,0,0,0,0,799914634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390904684.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316220120.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,813205520.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKorea,0,0,0,0,0,0,0,0,0,0,0,3101195259,0,0,0,0,0,0,0,0,0,0,0,224132050.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,188075896.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203548811.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaudiArabia,608175707.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987357329.5,90859386.39,0,0,0,45990911.4,0,0,0,0,0,0,385531546.5,0,320655324,200582448.3,1919804293,0,0,389694408.9,0,0,0,0,696269746.9,0,0,0,75331069.58,0,0,0,0,2723530801,0,0,0,60242210.64,0,0,0,0,232622172.4,1767508628,0,995563545.6,0,143320036.9,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
