t,exporter,importer,value,quantity,exp_mis,imp_mis,quality
1995,MYS,VNM,21.105,28.648,0.55,0.86,bad
1995,NLD,CHN,355.7381720248488,1065.289766147825,0,0.74,bad
1995,NLD,EGY,17.2348924803986,46.875,0,0.67,bad
1995,NLD,IDN,47.253,256.25300000000004,0,0.81,bad
1995,NLD,IND,1340.4102591804897,4505.409537063073,0,0.85,bad
1995,NLD,MYS,72.4651239993317,209.45107452944092,0,0.55,bad
1995,NLD,NGA,102.812,2.375,0,0.81,bad
1995,NLD,PAK,1297.722,6854.132,0,0.86,bad
1995,NLD,PHL,576.931,2260.812,0,0.81,bad
1995,NLD,POL,26.609,30.148,0,0.12,bad
1995,NLD,PRK,514.616,8725.761,0,0.88,bad
1995,NLD,RUS,75.567,26.511,0,0.16,bad
1995,NLD,SAU,828.7267983520436,1621.2121151087217,0,0.08,bad
1995,NLD,SLE,45.494,232.437,0,0.84,bad
1995,NLD,SYR,10.048,25.781,0,0.65,bad
1995,NLD,TUR,9.777,12.875,0,0.16,bad
1995,NLD,VNM,17.441,173.109,0,0.86,bad
1995,NLD,ZAF,9.1463870733584,28.6334332053275,0,0.54,bad
1995,NOR,EST,26.6370586366918,16.625,0,0.09,bad
1995,NOR,POL,6.17,5.187,0,0.12,bad
1995,NZL,CHN,351.762589497048,945.292,0,0.74,bad
1995,NZL,IND,30.7140489235065,53.519,0,0.85,bad
1995,NZL,MYS,16.324024487128902,85.175,0,0.55,bad
1995,NZL,ZAF,19.703,25.5,0,0.54,bad
1995,PAN,DOM,16.427,37.085,0.18,0.25,bad
1995,PAN,HND,7.02618552294762,18.304,0.18,0.4,bad
1995,PRT,BRA,3.47794686868197,13,0,0.09,bad
1995,PRT,IND,1.93696413519103,6.437,0,0.85,bad
1995,ROU,EGY,6.01392251812891,13,0.26,0.67,bad
1995,RUS,CHN,55.6088252489862,398.5,0.16,0.74,bad
1995,RUS,IND,21.3121983478469,53.503,0.16,0.85,bad
1995,SAU,CHN,135.40283212669254,562.011,0.08,0.74,bad
1995,SAU,COM,4.492,42,0.08,0.83,bad
1995,SAU,EGY,82.3332857116455,206.722523797549,0.08,0.67,bad
1995,SAU,ERI,2.67,82,0.08,0.77,bad
1995,SAU,GNQ,15.148,134,0.08,0.3,bad
1995,SAU,IDN,6.675,36,0.08,0.81,bad
1995,SAU,IND,146.5820097818224,550.133855057778,0.08,0.85,bad
1995,SAU,JOR,21.483,62.937,0.08,0.58,bad
1995,SAU,LBN,47.556,233.132,0.08,0.34,bad
1995,SAU,PAK,259.348,1973.558,0.08,0.86,bad
1995,SAU,PHL,24.097,75,0.08,0.81,bad
1995,SAU,SOM,20.018,136.218,0.08,0.85,bad
1995,SAU,SYR,57.319,220,0.08,0.65,bad
1995,SAU,TUR,10.814,45,0.08,0.16,bad
1995,SGP,BGD,1.35966717339689,3,0,0.87,bad
1995,SGP,CHN,298.7917743764588,1077.2997990630647,0,0.74,bad
1995,SGP,IDN,2197.11603965437,3475.5,0,0.81,bad
1995,SGP,IND,143.3398616142085,392.2267347245666,0,0.85,bad
1995,SGP,LKA,19.532,37,0,0.82,bad
1995,SGP,MMR,227.344,439,0,0.87,bad
1995,SGP,MYS,2107.409262451779,8927.17767359316,0,0.55,bad
1995,SGP,PAK,18.869999999999997,103,0,0.86,bad
1995,SGP,PHL,200.807,525,0,0.81,bad
1995,SGP,SAU,32.5682269341565,55.693914318067,0,0.08,bad
1995,SGP,SYC,4.624,1,0,0.37,bad
1995,SGP,THA,32.5323058807536,85.85351052947891,0,0.73,bad
1995,SGP,VNM,4.25,10,0,0.86,bad
1995,SGP,YEM,2.572,2,0,0.73,bad
1995,SLV,HND,2.726,3,0.33,0.4,bad
1995,SLV,NIC,3.38903058961149,8.187,0.33,0.45,bad
1995,SVN,BIH,41.965,104.5,0.01,0.4,bad
1995,SVN,HRV,60.34992515897467,137.682383969339,0.01,0.09,bad
1995,SVN,IND,29.3617295955909,59.19615294325,0.01,0.85,bad
1995,SWE,CHN,1.14888165314391,1.91973108045162,0,0.74,bad
1995,SWE,EST,31.90813978285741,27.25879832176394,0,0.09,bad
1995,SWE,IND,120.300627650737,192.4117985748185,0,0.85,bad
1995,SWE,LTU,3.69209466866507,25.121,0,0.14,bad
1995,SWE,LVA,14.7035657331643,169.589,0,0.14,bad
1995,SWE,MYS,65.509,281,0,0.55,bad
1995,SWE,PAK,33.317,77,0,0.86,bad
1995,SWE,PHL,27.975,54,0,0.81,bad
1995,SWE,POL,196.809,382.312,0,0.12,bad
1995,SWE,RUS,21.227,43,0,0.16,bad
1995,THA,IDN,9.219,15,0.73,0.81,bad
1995,THA,IND,704.3723484118207,1242.46946070103,0.73,0.85,bad
1995,THA,MMR,34.895,99.265,0.73,0.87,bad
1995,THA,PAK,45.711,81.66,0.73,0.86,bad
1995,THA,PHL,8.158,2.5,0.73,0.81,bad
1995,THA,VNM,14.261,3.625,0.73,0.86,bad
1995,TUR,IND,56.6998554860591,77.538,0.16,0.85,bad
1995,URY,CHN,18.171,87.359,0.08,0.74,bad
1995,USA,ARG,313.8370766668225,201.221,0,0.12,bad
1995,USA,BGD,68.546,71.304,0,0.87,bad
1995,USA,BRA,744.3662170272692,1113.233950610218,0,0.09,bad
1995,USA,CHL,1375.691918034788,1743.976791085642,0,0.07,bad
1995,USA,CHN,16665.371238400567,53174.328708109024,0,0.74,bad
1995,USA,CMR,16.8678813209296,19.468,0,0.81,bad
1995,USA,COL,582.292651257292,1010.3458575752085,0,0.21,bad
1995,USA,CRI,86.9355665559421,242.04319045760622,0,0.16,bad
1995,USA,DOM,466.693,943.277,0,0.25,bad
1995,USA,ECU,636.342282756493,958.2261431987661,0,0.3,bad
1995,USA,EGY,6.977,7.812,0,0.67,bad
1995,USA,EST,4.85,0.01,0,0.09,bad
1995,USA,GTM,342.5251047130961,465.34099041814545,0,0.36,bad
1995,USA,HND,187.7845549439946,438.6649657613603,0,0.4,bad
1995,USA,HTI,169.45600000000002,126.436,0,0.47,bad
1995,USA,IDN,406.879,1299.624,0,0.81,bad
1995,USA,IND,4318.94199517968,9329.96138884045,0,0.85,bad
1995,USA,IRN,66.598,41.628,0,0.5,bad
1995,USA,JAM,177.542,230.683,0,0.27,bad
1995,USA,JOR,47.157091284186905,32.187,0,0.58,bad
1995,USA,MEX,5153.773506010311,8732.320509148685,0,0.12,bad
1995,USA,MMR,14.691,47.398,0,0.87,bad
1995,USA,MYS,271.02451295795544,475.3608713349686,0,0.55,bad
1995,USA,NGA,165.016,139.511,0,0.81,bad
1995,USA,NIC,11.1063513603027,16.4577272336147,0,0.45,bad
1995,USA,PAK,156.9,324.64300000000003,0,0.86,bad
1995,USA,PAN,385.6793616953794,472.987046526556,0,0.18,bad
1995,USA,PER,183.6148637142389,271.5698493616997,0,0.25,bad
1995,USA,PHL,835.1,625.062,0,0.81,bad
1995,USA,POL,643.224,372.25,0,0.12,bad
1995,USA,SAU,1308.2290486451122,391.687,0,0.08,bad
1995,USA,SLV,532.7571496347196,1124.0472798654362,0,0.33,bad
1995,USA,SYC,3.23120269308771,0.957,0,0.37,bad
1995,USA,THA,519.685773338001,446.421438628591,0,0.73,bad
1995,USA,TUR,89.125,146.867,0,0.16,bad
1995,USA,URY,13.0859724641479,40.316,0,0.08,bad
1995,USA,VEN,200.53757624116454,263.555418463242,0,0.05,bad
1995,USA,VNM,143.43599999999998,216.132,0,0.86,bad
1995,USA,ZAF,72.851,105.847,0,0.54,bad
1995,VEN,COL,645.5714373499898,2892.751951585802,0.05,0.21,bad
1995,ZAF,CHN,4.19507428955078,18.773,0.54,0.74,bad
1996,ANT,VEN,3.53927621763432,28.597,0,0.05,bad
1996,ARE,IND,385.054763074786,1012,0,0.85,bad
1996,ARG,CHN,23.831,115.187,0.12,0.74,bad
1996,AUS,CHN,105.44599238963856,462.2337483258528,0,0.74,bad
1996,AUS,IDN,15.342355114428,65.6498788998214,0,0.81,bad
1996,AUS,IND,175.8753902680045,409.493936718003,0,0.85,bad
1996,AUS,MYS,121.39814446480486,414.71869386655874,0,0.55,bad
1996,AUS,PHL,26.996,41.015,0,0.81,bad
1996,AUS,ZAF,779.417261784851,835.85781264452,0,0.54,bad
1996,BEL,ARG,3.84308068502251,22.003,0,0.12,bad
1996,BEL,BGD,40.605,185.519,0,0.87,bad
1996,BEL,BRA,1.841,3,0,0.09,bad
1996,BEL,CHN,260.0303971243333,718.1543406567522,0,0.74,bad
1996,BEL,DZA,2.062,11.125,0,0.58,bad
1996,BEL,IND,730.289081983992,3187.238169128608,0,0.85,bad
1996,BEL,LBY,11.918,29.05,0,0.23,bad
1996,BEL,LKA,23.59,68,0,0.82,bad
1996,BEL,LTU,2.87877007321242,0.195,0,0.14,bad
