reporter,partner,year,classification,commodity_code,commodity,trade_flow_code,trade_flow,qty,qty_unit,trade_value_us
Belgium,Japan,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,20000,Weight in kilograms,16780
Belgium,Kazakhstan,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,40783,Weight in kilograms,7841
Belgium,Rep. of Korea,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,238260,Weight in kilograms,46588
Belgium,Rep. of Korea,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,7105789,Weight in kilograms,1794255
Belgium,Kuwait,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,21600,Weight in kilograms,5889
Belgium,Lebanon,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,112620,Weight in kilograms,71968
Belgium,Lebanon,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,686042,Weight in kilograms,154435
Belgium,Latvia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,71889,Weight in kilograms,55770
Belgium,Latvia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,818149,Weight in kilograms,328109
Belgium,Lithuania,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,311132,Weight in kilograms,314041
Belgium,Lithuania,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,2949484,Weight in kilograms,461381
Belgium,Luxembourg,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1604862,Weight in kilograms,487476
Belgium,Luxembourg,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,4642315,Weight in kilograms,3071262
Belgium,Malaysia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,33454230,Weight in kilograms,7671969
Belgium,Malta,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,12469,Weight in kilograms,7070
Belgium,Mexico,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,554216,Weight in kilograms,98085
Belgium,Mexico,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,727949,Weight in kilograms,376322
Belgium,"Other Asia, nes",2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,19614625,Weight in kilograms,6286960
Belgium,Morocco,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,61483,Weight in kilograms,44415
Belgium,Morocco,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,147175,Weight in kilograms,53833
Belgium,Oman,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,284900,Weight in kilograms,286915
Belgium,Oman,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,56560,Weight in kilograms,18621
Belgium,Netherlands,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,66052324,Weight in kilograms,31703402
Belgium,Netherlands,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,157612800,Weight in kilograms,51804483
Belgium,New Zealand,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,102020,Weight in kilograms,43482
Belgium,Nigeria,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,13220,Weight in kilograms,1584
Belgium,Norway,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,36556,Weight in kilograms,7277
Belgium,Pakistan,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,9985870,Weight in kilograms,3420271
Belgium,Philippines,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,120540,Weight in kilograms,30214
Belgium,Poland,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,6625329,Weight in kilograms,4399378
Belgium,Poland,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,4754600,Weight in kilograms,2464880
